name,lat,lon,count,insta_names
가파도수산,33.21813411842392,126.2517885084979,17,"['가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산', '가파도수산']"
가파도용궁정식,33.166361966100425,126.27288671867004,1,['가파도용궁정식']
가평빌리지,33.50217901827134,126.50756917793514,1,['가평']
가품육개장 제주본점,33.4837461020822,126.484977469843,4,['육개장']
가현산,37.625827733348295,126.65070853246893,16,"['인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단', '인천 서구 검단']"
가호,33.48473867468726,126.3905607723294,15,"['Cafe가호', 'Cafe가호', 'Cafe가호', 'cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호', 'Cafe가호']"
각지불,33.4244810651727,126.67532351547,17,"['각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당', '각지불식당']"
간다여행,33.48861948151988,126.49313488884025,1,['간다']
간장을품은소라게,33.4834265544568,126.402532224532,75,"['간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '애월해물찜', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게', '간장을 품은 소라게', '간장을품은소라게']"
갈치왕,33.2646549136212,126.39076081925536,34,"['갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치정식', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕', '갈치왕']"
감귤과수원 동글락,33.346768380634124,126.2627151646646,2,"['감귤과수원동글락', '동글락']"
감귤달,33.5329778290238,126.84026671569,22,"['감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달.', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달', '감귤달']"
감귤박물관,33.2715616062599,126.607466955475,36,"['감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '서귀포감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관', '감귤박물관']"
감나무집,33.49417741017186,126.51951589983952,1,['감나무']
